file,tests,stratified,splits,model,n_estimators,max_features_pct,acc,pr,rec,f1,acc_std,pr_std,rec_std,f1_std
iris.csv,crossvalidation_random_forest,not,2,random_forest,100,1.0,0.94,0.9435629026146268,0.94,0.9397343478454183,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_random_forest,not,3,random_forest,100,1.0,0.9342320261437909,0.9375816993464053,0.9342320261437908,0.9340713837867538,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_random_forest,not,5,random_forest,100,1.0,0.96,0.9634343434343435,0.96,0.9598319029897977,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_random_forest,not,10,random_forest,100,1.0,0.96,0.9682539682539684,0.96,0.9591750841750841,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_random_forest,strat,2,random_forest,100,1.0,0.9533333333333334,0.9535683760683761,0.9533333333333334,0.9533253301320528,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_random_forest,strat,3,random_forest,100,1.0,0.960375816993464,0.9611474219317356,0.960375816993464,0.960363369851036,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_random_forest,strat,5,random_forest,100,1.0,0.9666666666666668,0.9694949494949494,0.9666666666666666,0.9665152780942254,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_random_forest,strat,10,random_forest,100,1.0,0.96,0.9682539682539684,0.96,0.9591750841750841,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_random_forest,none,2,random_forest,100,1.0,0.96,0.9618894256575417,0.96,0.9599358974358974,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_random_forest,none,3,random_forest,100,1.0,0.9669117647058822,0.9706245461147422,0.9669117647058822,0.9667454635196572,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_random_forest,none,5,random_forest,100,1.0,0.96,0.9622895622895623,0.96,0.9598997493734336,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_random_forest,none,10,random_forest,100,1.0,0.9666666666666666,0.9738095238095239,0.9666666666666666,0.9659090909090908,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_boosting,not,2,boosting,100,1.0,0.96,0.9618894256575417,0.96,0.9599358974358974,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_boosting,not,3,boosting,100,1.0,0.9272875816993463,0.9301575698505523,0.9272875816993463,0.9270799734035028,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_boosting,not,5,boosting,100,1.0,0.9333333333333333,0.9406423206423206,0.9333333333333333,0.932688169829104,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_boosting,not,10,boosting,100,1.0,0.9400000000000001,0.9465873015873015,0.9399999999999998,0.939107744107744,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_boosting,strat,2,boosting,100,1.0,0.9266666666666666,0.9338287043083309,0.9266666666666665,0.9258794426861653,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_boosting,strat,3,boosting,100,1.0,0.9464869281045751,0.952183836497562,0.9464869281045751,0.946093973937777,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_boosting,strat,5,boosting,100,1.0,0.9466666666666667,0.9554978354978354,0.9466666666666665,0.9455221386800334,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_boosting,strat,10,boosting,100,1.0,0.9466666666666667,0.9613095238095237,0.9466666666666667,0.9439310689310689,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_boosting,none,2,boosting,100,1.0,0.9466666666666667,0.9512465989227609,0.9466666666666667,0.9464521656550642,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_boosting,none,3,boosting,100,1.0,0.9595588235294118,0.9602759622367465,0.9595588235294118,0.9595327997605038,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_boosting,none,5,boosting,100,1.0,0.9533333333333334,0.9550168350168351,0.9533333333333334,0.9532497911445279,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_boosting,none,10,boosting,100,1.0,0.9466666666666667,0.9511111111111111,0.9466666666666667,0.9463973063973065,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_bagging,not,2,bagging,100,1.0,0.94,0.9454707170224412,0.94,0.9396700909102076,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_bagging,not,3,bagging,100,1.0,0.9395424836601306,0.9424208669822706,0.9395424836601306,0.9393371153175075,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_bagging,not,5,bagging,100,1.0,0.96,0.9646464646464648,0.96,0.9597984861142755,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_bagging,not,10,bagging,100,1.0,0.9666666666666666,0.9738095238095239,0.9666666666666666,0.9659090909090908,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_bagging,strat,2,bagging,100,1.0,0.96,0.9618894256575417,0.96,0.9599358974358974,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_bagging,strat,3,bagging,100,1.0,0.9599673202614379,0.9648148148148148,0.9599673202614379,0.9597533411575158,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_bagging,strat,5,bagging,100,1.0,0.9466666666666667,0.9511784511784512,0.9466666666666667,0.9464317359054201,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_bagging,strat,10,bagging,100,1.0,0.96,0.9644444444444445,0.96,0.9597306397306398,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_bagging,none,2,bagging,100,1.0,0.9666666666666667,0.9669017094017094,0.9666666666666666,0.9666586634653861,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_bagging,none,3,bagging,100,1.0,0.9403594771241831,0.947200176366843,0.9403594771241829,0.9399211040077914,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_bagging,none,5,bagging,100,1.0,0.96,0.9632996632996633,0.96,0.9597984861142755,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_bagging,none,10,bagging,100,1.0,0.9666666666666666,0.9722222222222223,0.9666666666666666,0.9663299663299663,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_tree,not,2,tree,100,1.0,0.96,0.9618894256575417,0.96,0.9599358974358974,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_tree,not,3,tree,100,1.0,0.9473039215686274,0.9479847494553377,0.9473039215686274,0.9472688391094465,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_tree,not,5,tree,100,1.0,0.9466666666666665,0.9541103341103341,0.9466666666666665,0.9460549200379594,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_tree,not,10,tree,100,1.0,0.9466666666666667,0.9511111111111112,0.9466666666666667,0.9463973063973065,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_tree,strat,2,tree,100,1.0,0.96,0.9618894256575417,0.96,0.9599358974358974,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_tree,strat,3,tree,100,1.0,0.9526143790849674,0.9585330428467683,0.9526143790849674,0.9521678031481953,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_tree,strat,5,tree,100,1.0,0.9666666666666666,0.9672727272727272,0.9666666666666666,0.9666499582289056,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_tree,strat,10,tree,100,1.0,0.9533333333333335,0.9652777777777779,0.9533333333333334,0.9510859510859511,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_tree,none,2,tree,100,1.0,0.94,0.9427409010742344,0.94,0.939810025493486,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_tree,none,3,tree,100,1.0,0.9534313725490197,0.957748538011696,0.9534313725490197,0.9532321299794418,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_tree,none,5,tree,100,1.0,0.96,0.9634343434343435,0.96,0.9598319029897976,0.0,0.0,0.0,0.0
iris.csv,crossvalidation_tree,none,10,tree,100,1.0,0.9400000000000001,0.9493650793650794,0.9400000000000001,0.9391077441077442,0.0,0.0,0.0,0.0
iris.csv,n_estimators,strat,10,random_forest,2,1.0,0.9333333333333333,0.946031746031746,0.9333333333333333,0.9322390572390573,0.0,0.0,0.0,0.0
iris.csv,n_estimators,strat,10,random_forest,10,1.0,0.9533333333333334,0.9642857142857142,0.9533333333333334,0.9520202020202021,0.0,0.0,0.0,0.0
iris.csv,n_estimators,strat,10,random_forest,25,1.0,0.9533333333333334,0.9566666666666668,0.9533333333333334,0.9531313131313132,0.0,0.0,0.0,0.0
iris.csv,n_estimators,strat,10,random_forest,50,1.0,0.9666666666666668,0.9677777777777778,0.9666666666666668,0.9665993265993267,0.0,0.0,0.0,0.0
iris.csv,n_estimators,strat,10,random_forest,75,1.0,0.96,0.9666666666666668,0.96,0.9595959595959596,0.0,0.0,0.0,0.0
iris.csv,n_estimators,strat,10,random_forest,100,1.0,0.96,0.9666666666666668,0.96,0.9595959595959596,0.0,0.0,0.0,0.0
iris.csv,n_estimators,strat,10,random_forest,200,1.0,0.9600000000000002,0.9682539682539684,0.96,0.9591750841750841,0.0,0.0,0.0,0.0
iris.csv,n_estimators,strat,10,random_forest,300,1.0,0.9666666666666666,0.9722222222222223,0.9666666666666666,0.9663299663299663,0.0,0.0,0.0,0.0
iris.csv,n_estimators,strat,10,random_forest,400,1.0,0.9600000000000002,0.9644444444444445,0.96,0.9597306397306398,0.0,0.0,0.0,0.0
iris.csv,n_estimators,strat,10,random_forest,500,1.0,0.96,0.9622222222222223,0.96,0.95986531986532,0.0,0.0,0.0,0.0
iris.csv,n_estimators,strat,10,boosting,2,1.0,0.9400000000000001,0.9557539682539684,0.9400000000000001,0.9371970621970622,0.0,0.0,0.0,0.0
iris.csv,n_estimators,strat,10,boosting,10,1.0,0.9533333333333335,0.9642857142857144,0.9533333333333334,0.9520202020202019,0.0,0.0,0.0,0.0
iris.csv,n_estimators,strat,10,boosting,25,1.0,0.9333333333333333,0.9463888888888891,0.9333333333333332,0.931018611018611,0.0,0.0,0.0,0.0
